#           k/h    P           
   0.405520E-03   0.160801E+04
   0.413712E-03   0.163915E+04
   0.422070E-03   0.167088E+04
   0.430596E-03   0.170321E+04
   0.439295E-03   0.173615E+04
   0.448169E-03   0.176973E+04
   0.457222E-03   0.180394E+04
   0.466459E-03   0.183880E+04
   0.475882E-03   0.187433E+04
   0.485496E-03   0.191052E+04
   0.495303E-03   0.194740E+04
   0.505309E-03   0.198498E+04
   0.515517E-03   0.202327E+04
   0.525931E-03   0.206228E+04
   0.536556E-03   0.210203E+04
   0.547395E-03   0.214252E+04
   0.558453E-03   0.218378E+04
   0.569734E-03   0.222581E+04
   0.581244E-03   0.226863E+04
   0.592986E-03   0.231225E+04
   0.604965E-03   0.235668E+04
   0.617186E-03   0.240195E+04
   0.629654E-03   0.244806E+04
   0.642374E-03   0.249503E+04
   0.655350E-03   0.254287E+04
   0.668589E-03   0.259160E+04
   0.682096E-03   0.264124E+04
   0.695875E-03   0.269179E+04
   0.709933E-03   0.274328E+04
   0.724274E-03   0.279571E+04
   0.738906E-03   0.284912E+04
   0.753832E-03   0.290350E+04
   0.769061E-03   0.295888E+04
   0.784597E-03   0.301527E+04
   0.800447E-03   0.307270E+04
   0.816617E-03   0.313117E+04
   0.833114E-03   0.319070E+04
   0.849944E-03   0.325132E+04
   0.867114E-03   0.331303E+04
   0.884631E-03   0.337586E+04
   0.902501E-03   0.343982E+04
   0.920733E-03   0.350493E+04
   0.939333E-03   0.357120E+04
   0.958309E-03   0.363867E+04
   0.977668E-03   0.370733E+04
   0.997418E-03   0.377722E+04
   0.101757E-02   0.384835E+04
   0.103812E-02   0.392074E+04
   0.105910E-02   0.399440E+04
   0.108049E-02   0.406936E+04
   0.110232E-02   0.414563E+04
   0.112459E-02   0.422323E+04
   0.114730E-02   0.430218E+04
   0.117048E-02   0.438250E+04
   0.119413E-02   0.446421E+04
   0.121825E-02   0.454733E+04
   0.124286E-02   0.463187E+04
   0.126797E-02   0.471786E+04
   0.129358E-02   0.480530E+04
   0.131971E-02   0.489423E+04
   0.134637E-02   0.498466E+04
   0.137357E-02   0.507661E+04
   0.140132E-02   0.517009E+04
   0.142963E-02   0.526512E+04
   0.145851E-02   0.536173E+04
   0.148797E-02   0.545993E+04
   0.151803E-02   0.555974E+04
   0.154870E-02   0.566117E+04
   0.157998E-02   0.576425E+04
   0.161190E-02   0.586899E+04
   0.164446E-02   0.597540E+04
   0.167768E-02   0.608351E+04
   0.171158E-02   0.619332E+04
   0.174615E-02   0.630487E+04
   0.178143E-02   0.641815E+04
   0.181741E-02   0.653319E+04
   0.185413E-02   0.665000E+04
   0.189158E-02   0.676859E+04
   0.192980E-02   0.688899E+04
   0.196878E-02   0.701119E+04
   0.200855E-02   0.713522E+04
   0.204913E-02   0.726109E+04
   0.209052E-02   0.738880E+04
   0.213276E-02   0.751837E+04
   0.217584E-02   0.764981E+04
   0.221979E-02   0.778313E+04
   0.226464E-02   0.791834E+04
   0.231039E-02   0.805544E+04
   0.235706E-02   0.819444E+04
   0.240467E-02   0.833535E+04
   0.245325E-02   0.847817E+04
   0.250281E-02   0.862292E+04
   0.255337E-02   0.876958E+04
   0.260495E-02   0.891816E+04
   0.265758E-02   0.906867E+04
   0.271126E-02   0.922110E+04
   0.276603E-02   0.937546E+04
   0.282191E-02   0.953173E+04
   0.287892E-02   0.968992E+04
   0.293708E-02   0.985003E+04
   0.299641E-02   0.100120E+05
   0.305694E-02   0.101759E+05
   0.311870E-02   0.103417E+05
   0.318170E-02   0.105094E+05
   0.324597E-02   0.106790E+05
   0.331155E-02   0.108503E+05
   0.337844E-02   0.110236E+05
   0.344669E-02   0.111986E+05
   0.351632E-02   0.113755E+05
   0.358735E-02   0.115541E+05
   0.365982E-02   0.117344E+05
   0.373376E-02   0.119165E+05
   0.380918E-02   0.121003E+05
   0.388613E-02   0.122858E+05
   0.396464E-02   0.124729E+05
   0.404473E-02   0.126616E+05
   0.412644E-02   0.128519E+05
   0.420980E-02   0.130437E+05
   0.429484E-02   0.132369E+05
   0.438160E-02   0.134317E+05
   0.447012E-02   0.136278E+05
   0.456042E-02   0.138252E+05
   0.465255E-02   0.140240E+05
   0.474653E-02   0.142240E+05
   0.484242E-02   0.144252E+05
   0.494024E-02   0.146275E+05
   0.504004E-02   0.148308E+05
   0.514186E-02   0.150351E+05
   0.524573E-02   0.152404E+05
   0.535170E-02   0.154465E+05
   0.545981E-02   0.156533E+05
   0.557011E-02   0.158608E+05
   0.568263E-02   0.160689E+05
   0.579743E-02   0.162775E+05
   0.591455E-02   0.164865E+05
   0.603403E-02   0.166959E+05
   0.615592E-02   0.169056E+05
   0.628028E-02   0.171153E+05
   0.640715E-02   0.173251E+05
   0.653658E-02   0.175347E+05
   0.666863E-02   0.177441E+05
   0.680335E-02   0.179530E+05
   0.694078E-02   0.181614E+05
   0.708100E-02   0.183691E+05
   0.722404E-02   0.185760E+05
   0.736998E-02   0.187820E+05
   0.751886E-02   0.189869E+05
   0.767075E-02   0.191906E+05
   0.782571E-02   0.193930E+05
   0.798380E-02   0.195938E+05
   0.814509E-02   0.197930E+05
   0.830963E-02   0.199904E+05
   0.847750E-02   0.201858E+05
   0.864875E-02   0.203791E+05
   0.882347E-02   0.205699E+05
   0.900171E-02   0.207583E+05
   0.918356E-02   0.209439E+05
   0.936908E-02   0.211265E+05
   0.955835E-02   0.213060E+05
   0.975144E-02   0.214821E+05
   0.994843E-02   0.216546E+05
   0.101494E-01   0.218234E+05
   0.103544E-01   0.219881E+05
   0.105636E-01   0.221486E+05
   0.107770E-01   0.223046E+05
   0.109947E-01   0.224559E+05
   0.112168E-01   0.226022E+05
   0.114434E-01   0.227433E+05
   0.116746E-01   0.228790E+05
   0.119104E-01   0.230091E+05
   0.121510E-01   0.231332E+05
   0.123965E-01   0.232511E+05
   0.126469E-01   0.233626E+05
   0.129024E-01   0.234673E+05
   0.131631E-01   0.235651E+05
   0.134290E-01   0.236557E+05
   0.137003E-01   0.237388E+05
   0.139770E-01   0.238141E+05
   0.142594E-01   0.238814E+05
   0.145474E-01   0.239405E+05
   0.148413E-01   0.239910E+05
   0.151411E-01   0.240327E+05
   0.154470E-01   0.240654E+05
   0.157590E-01   0.240889E+05
   0.160774E-01   0.241028E+05
   0.164022E-01   0.241070E+05
   0.167335E-01   0.241012E+05
   0.170716E-01   0.240853E+05
   0.174164E-01   0.240590E+05
   0.177683E-01   0.240221E+05
   0.181272E-01   0.239745E+05
   0.184934E-01   0.239159E+05
   0.188670E-01   0.238464E+05
   0.192481E-01   0.237657E+05
   0.196370E-01   0.236738E+05
   0.200337E-01   0.235705E+05
   0.204384E-01   0.234558E+05
   0.208513E-01   0.233297E+05
   0.212725E-01   0.231921E+05
   0.217022E-01   0.230432E+05
   0.221406E-01   0.228829E+05
   0.225879E-01   0.227113E+05
   0.230442E-01   0.225286E+05
   0.235097E-01   0.223350E+05
   0.239847E-01   0.221306E+05
   0.244692E-01   0.219156E+05
   0.249635E-01   0.216903E+05
   0.254678E-01   0.214551E+05
   0.259823E-01   0.212103E+05
   0.265072E-01   0.209564E+05
   0.270426E-01   0.206936E+05
   0.275889E-01   0.204226E+05
   0.281463E-01   0.201439E+05
   0.287149E-01   0.198581E+05
   0.292949E-01   0.195657E+05
   0.298867E-01   0.192673E+05
   0.304905E-01   0.189637E+05
   0.311064E-01   0.186557E+05
   0.317348E-01   0.183440E+05
   0.323759E-01   0.180294E+05
   0.330299E-01   0.177125E+05
   0.336972E-01   0.173944E+05
   0.343779E-01   0.170758E+05
   0.350724E-01   0.167575E+05
   0.357809E-01   0.164404E+05
   0.365038E-01   0.161253E+05
   0.372412E-01   0.158132E+05
   0.379935E-01   0.155050E+05
   0.387610E-01   0.152016E+05
   0.395440E-01   0.149039E+05
   0.403429E-01   0.146124E+05
   0.411579E-01   0.143276E+05
   0.419893E-01   0.140500E+05
   0.428375E-01   0.137798E+05
   0.437029E-01   0.135175E+05
   0.445858E-01   0.132636E+05
   0.454865E-01   0.130190E+05
   0.464053E-01   0.127845E+05
   0.473428E-01   0.125609E+05
   0.482992E-01   0.123489E+05
   0.492749E-01   0.121479E+05
   0.502703E-01   0.119572E+05
   0.512858E-01   0.117757E+05
   0.523219E-01   0.116025E+05
   0.533789E-01   0.114369E+05
   0.544572E-01   0.112781E+05
   0.555573E-01   0.111253E+05
   0.566796E-01   0.109777E+05
   0.578246E-01   0.108347E+05
   0.589927E-01   0.106951E+05
   0.601845E-01   0.105579E+05
   0.614003E-01   0.104223E+05
   0.626407E-01   0.102869E+05
   0.639061E-01   0.101504E+05
   0.651971E-01   0.100113E+05
   0.665142E-01   0.986820E+04
   0.678578E-01   0.971935E+04
   0.692287E-01   0.956299E+04
   0.706272E-01   0.939760E+04
   0.720539E-01   0.922227E+04
   0.735095E-01   0.903634E+04
   0.749945E-01   0.883941E+04
   0.765095E-01   0.863188E+04
   0.780551E-01   0.841443E+04
   0.796319E-01   0.818805E+04
   0.812406E-01   0.795453E+04
   0.828817E-01   0.771576E+04
   0.845561E-01   0.747378E+04
   0.862642E-01   0.723089E+04
   0.880068E-01   0.698927E+04
   0.897847E-01   0.675114E+04
   0.915985E-01   0.651866E+04
   0.934489E-01   0.629394E+04
   0.953367E-01   0.607921E+04
   0.972626E-01   0.587640E+04
   0.992274E-01   0.568721E+04
   0.101232E+00   0.551319E+04
   0.103277E+00   0.535559E+04
   0.105363E+00   0.521469E+04
   0.107492E+00   0.509034E+04
   0.109663E+00   0.498188E+04
   0.111879E+00   0.488729E+04
   0.114139E+00   0.480447E+04
   0.116445E+00   0.473052E+04
   0.118797E+00   0.466220E+04
   0.121197E+00   0.459625E+04
   0.123645E+00   0.452931E+04
   0.126143E+00   0.445828E+04
   0.128691E+00   0.438057E+04
   0.131291E+00   0.429405E+04
   0.133943E+00   0.419760E+04
   0.136649E+00   0.409073E+04
   0.139409E+00   0.397420E+04
   0.142226E+00   0.384935E+04
   0.145099E+00   0.371834E+04
   0.148030E+00   0.358377E+04
   0.151020E+00   0.344894E+04
   0.154071E+00   0.331730E+04
   0.157184E+00   0.319254E+04
   0.160359E+00   0.307802E+04
   0.163598E+00   0.297651E+04
   0.166903E+00   0.288861E+04
   0.170275E+00   0.281374E+04
   0.173715E+00   0.275052E+04
   0.177224E+00   0.269655E+04
   0.180804E+00   0.264871E+04
   0.184457E+00   0.260390E+04
   0.188183E+00   0.255887E+04
   0.191985E+00   0.251028E+04
   0.195863E+00   0.245530E+04
   0.199820E+00   0.239263E+04
   0.203856E+00   0.232270E+04
   0.207974E+00   0.224739E+04
   0.212176E+00   0.216938E+04
   0.216462E+00   0.209178E+04
   0.220835E+00   0.201773E+04
   0.225296E+00   0.194990E+04
   0.229847E+00   0.189007E+04
   0.234490E+00   0.183868E+04
   0.239227E+00   0.179490E+04
   0.244060E+00   0.175685E+04
   0.248990E+00   0.172193E+04
   0.254020E+00   0.168721E+04
   0.259152E+00   0.164999E+04
   0.264387E+00   0.160898E+04
   0.269728E+00   0.156454E+04
   0.275177E+00   0.151746E+04
   0.280736E+00   0.147019E+04
   0.286407E+00   0.142467E+04
   0.292193E+00   0.138264E+04
   0.298096E+00   0.134553E+04
   0.304118E+00   0.131323E+04
   0.310261E+00   0.128412E+04
   0.316529E+00   0.125658E+04
   0.322923E+00   0.122910E+04
   0.329447E+00   0.120022E+04
   0.336102E+00   0.117001E+04
   0.342892E+00   0.113885E+04
   0.349819E+00   0.110830E+04
   0.356885E+00   0.107940E+04
   0.364095E+00   0.105309E+04
   0.371450E+00   0.102891E+04
   0.378954E+00   0.100669E+04
   0.386609E+00   0.985210E+03
   0.394419E+00   0.963465E+03
   0.402387E+00   0.941457E+03
   0.410516E+00   0.919330E+03
   0.418809E+00   0.897817E+03
   0.427269E+00   0.877356E+03
   0.435901E+00   0.858321E+03
   0.444706E+00   0.840383E+03
   0.453690E+00   0.823047E+03
   0.462855E+00   0.805986E+03
   0.472206E+00   0.788901E+03
   0.481745E+00   0.772131E+03
   0.491477E+00   0.756002E+03
   0.501405E+00   0.740581E+03
   0.511534E+00   0.725850E+03
   0.521868E+00   0.711612E+03
   0.532411E+00   0.697622E+03
   0.543166E+00   0.683883E+03
   0.554139E+00   0.670444E+03
   0.565333E+00   0.657501E+03
   0.576753E+00   0.645001E+03
   0.588404E+00   0.632857E+03
   0.600291E+00   0.620998E+03
   0.612418E+00   0.609369E+03
   0.624789E+00   0.598043E+03
   0.637411E+00   0.587001E+03
   0.650288E+00   0.576252E+03
   0.663424E+00   0.565771E+03
   0.676826E+00   0.555532E+03
   0.690499E+00   0.545511E+03
   0.704448E+00   0.535695E+03
   0.718679E+00   0.526080E+03
   0.733197E+00   0.516659E+03
   0.748009E+00   0.507428E+03
   0.763119E+00   0.498376E+03
   0.778536E+00   0.489492E+03
   0.794263E+00   0.480765E+03
   0.810308E+00   0.472186E+03
   0.826677E+00   0.463747E+03
   0.843378E+00   0.455442E+03
   0.860415E+00   0.447265E+03
   0.877797E+00   0.439210E+03
   0.895529E+00   0.431271E+03
   0.913620E+00   0.423440E+03
   0.932076E+00   0.415713E+03
   0.950906E+00   0.408082E+03
   0.970115E+00   0.400545E+03
   0.989713E+00   0.393097E+03
   0.100971E+01   0.385736E+03
   0.103010E+01   0.378458E+03
   0.105091E+01   0.371260E+03
   0.107214E+01   0.364138E+03
   0.109380E+01   0.357089E+03
   0.111590E+01   0.350110E+03
   0.113844E+01   0.343201E+03
   0.116144E+01   0.336360E+03
   0.118490E+01   0.329587E+03
   0.120884E+01   0.322881E+03
   0.123326E+01   0.316241E+03
   0.125817E+01   0.309665E+03
   0.128359E+01   0.303153E+03
   0.130952E+01   0.296704E+03
   0.133597E+01   0.290319E+03
   0.136296E+01   0.284000E+03
   0.139049E+01   0.277746E+03
   0.141858E+01   0.271558E+03
   0.144724E+01   0.265438E+03
   0.147648E+01   0.259384E+03
   0.150630E+01   0.253399E+03
   0.153673E+01   0.247482E+03
   0.156778E+01   0.241636E+03
   0.159945E+01   0.235862E+03
   0.163176E+01   0.230162E+03
   0.166472E+01   0.224535E+03
   0.169835E+01   0.218985E+03
   0.173266E+01   0.213510E+03
   0.176766E+01   0.208114E+03
   0.180337E+01   0.202796E+03
   0.183980E+01   0.197558E+03
   0.187697E+01   0.192401E+03
   0.191489E+01   0.187327E+03
   0.195357E+01   0.182337E+03
   0.199304E+01   0.177431E+03
   0.203330E+01   0.172609E+03
   0.207437E+01   0.167874E+03
   0.211628E+01   0.163224E+03
   0.215903E+01   0.158661E+03
   0.220265E+01   0.154185E+03
   0.224714E+01   0.149797E+03
   0.229254E+01   0.145497E+03
   0.233885E+01   0.141285E+03
   0.238610E+01   0.137160E+03
   0.243430E+01   0.133123E+03
   0.248348E+01   0.129174E+03
   0.253365E+01   0.125312E+03
   0.258483E+01   0.121537E+03
   0.263705E+01   0.117849E+03
   0.269032E+01   0.114246E+03
   0.274466E+01   0.110728E+03
   0.280011E+01   0.107295E+03
   0.285668E+01   0.103946E+03
   0.291439E+01   0.100679E+03
   0.297326E+01   0.974945E+02
   0.303332E+01   0.943910E+02
   0.309460E+01   0.913675E+02
   0.315712E+01   0.884230E+02
   0.322090E+01   0.855564E+02
   0.328596E+01   0.827665E+02
   0.335234E+01   0.800522E+02
   0.342006E+01   0.774121E+02
   0.348916E+01   0.748451E+02
   0.355964E+01   0.723499E+02
   0.363155E+01   0.699251E+02
   0.370491E+01   0.675696E+02
   0.377976E+01   0.652818E+02
   0.385611E+01   0.630606E+02
   0.393401E+01   0.609046E+02
   0.401348E+01   0.588124E+02
   0.409456E+01   0.567828E+02
   0.417727E+01   0.548143E+02
   0.426166E+01   0.529058E+02
   0.434775E+01   0.510557E+02
   0.443558E+01   0.492629E+02
   0.452519E+01   0.475260E+02
   0.461660E+01   0.458437E+02
   0.470987E+01   0.442147E+02
   0.480501E+01   0.426377E+02
   0.490208E+01   0.411113E+02
   0.500111E+01   0.396344E+02
   0.510214E+01   0.382055E+02
   0.520521E+01   0.368233E+02
   0.531036E+01   0.354863E+02
   0.541763E+01   0.341931E+02
   0.552708E+01   0.329424E+02
   0.563873E+01   0.317330E+02
   0.575264E+01   0.305636E+02
   0.586885E+01   0.294330E+02
   0.598741E+01   0.283399E+02
   0.610836E+01   0.272833E+02
   0.623176E+01   0.262621E+02
   0.635765E+01   0.252753E+02
   0.648609E+01   0.243221E+02
   0.661711E+01   0.234019E+02
   0.675079E+01   0.225139E+02
   0.688716E+01   0.216575E+02
   0.702629E+01   0.208319E+02
   0.716823E+01   0.200363E+02
   0.731304E+01   0.192700E+02
   0.746077E+01   0.185321E+02
   0.761149E+01   0.178220E+02
   0.776525E+01   0.171388E+02
